fecha_hecho,delito,sexo,edad,colonia_catalogo,alcaldia_catalogo,latitud,longitud,anio_hecho,mes_hecho,dia_hecho,indice_alcaldia,,
01/02/2014,USURPACIÓN DE IDENTIDAD,1,57,Dr Alfonso Ortiz Tirado,Iztapalapa,19.38768341,-99.08044884,2014,2,1,7.00,,
04/03/2014,USURPACIÓN DE IDENTIDAD,1,52,Insurgentes Mixcoac,Benito Juárez,19.37397865,-99.17891206,2014,3,4,1.00,,
03/04/2014,USURPACIÓN DE IDENTIDAD,1,55,San Jose Insurgentes,Benito Juárez,19.36368248,-99.18722034,2014,4,3,1.00,,
17/04/2014,USURPACIÓN DE IDENTIDAD,1,48,Chalma De Guadalupe,Gustavo A. Madero,19.55382437,-99.1535984,2014,4,17,5.00,,
15/06/2014,USURPACIÓN DE IDENTIDAD,0,35,Ejercito De Oriente,Iztapalapa,19.38547642,-99.03712571,2014,6,15,7.00,,
09/08/2014,USURPACIÓN DE IDENTIDAD,1,31,Pueblo San Lorenzo Xicotencatl,Iztapalapa,19.38275536,-99.0277206,2014,8,9,7.00,,
14/08/2014,USURPACIÓN DE IDENTIDAD,1,52,Nueva Vallejo,Gustavo A. Madero,19.49076,-99.14682,2014,8,14,5.00,,
23/08/2014,USURPACIÓN DE IDENTIDAD,0,33,Magdalena De Las Salinas,Gustavo A. Madero,19.48739665,-99.13316578,2014,8,23,5.00,,
01/10/2014,USURPACIÓN DE IDENTIDAD,1,40,Argentina Antigua,Miguel Hidalgo,19.45770558,-99.20087256,2014,10,1,9.00,,
14/10/2014,USURPACIÓN DE IDENTIDAD,1,62,Centro,Cuauhtémoc,19.43013985,-99.15085763,2014,10,14,4.00,,
15/10/2014,USURPACIÓN DE IDENTIDAD,0,45,La Era,Iztapalapa,19.33722323,-99.05405,2014,10,15,7.00,,
01/01/2015,USURPACIÓN DE IDENTIDAD,0,73,Leyes De Reforma 1a Seccion,Iztapalapa,19.36347,-99.06969,2015,1,1,7.00,,
01/01/2015,USURPACIÓN DE IDENTIDAD,0,33,Quiahuatla,Tláhuac,19.26007,-99.0049,2015,1,1,12.00,,
01/01/2015,USURPACIÓN DE IDENTIDAD,1,79,El Sifon,Iztapalapa,19.37157,-99.12223,2015,1,1,7.00,,
15/01/2015,USURPACIÓN DE IDENTIDAD,0,51,Guerrero,Cuauhtémoc,19.44053514,-99.14164075,2015,1,15,4.00,,
12/03/2015,USURPACIÓN DE IDENTIDAD,1,29,Infonavit Iztacalco,Iztacalco,19.38397359,-99.10480678,2015,3,12,6.00,,
07/04/2015,USURPACIÓN DE IDENTIDAD,0,39,Nonoalco Tlatelolco,Cuauhtémoc,19.45005114,-99.13848245,2015,4,7,4.00,,
23/07/2015,USURPACIÓN DE IDENTIDAD,0,26,Nueva Rosita,Iztapalapa,19.37771,-99.10584,2015,7,23,7.00,,
29/07/2015,USURPACIÓN DE IDENTIDAD,1,33,Buenavista,Cuauhtémoc,19.4425,-99.15008,2015,7,29,4.00,,
07/11/2015,USURPACIÓN DE IDENTIDAD,1,39,Del Carmen,Coyoacán,19.3533,-99.1564,2015,11,7,2.00,,
01/12/2015,USURPACIÓN DE IDENTIDAD,1,36,Cuauhtemoc,Cuauhtémoc,19.43566158,-99.168349,2015,12,1,4.00,,
15/12/2015,USURPACIÓN DE IDENTIDAD,0,53,Anahuac I Seccion,Miguel Hidalgo,19.45138075,-99.18495368,2015,12,15,9.00,,
01/01/2016,USURPACIÓN DE IDENTIDAD,0,33,Central De Abasto,Iztapalapa,19.37479708,-99.0784809,2016,1,1,7.00,,
01/01/2016,USURPACIÓN DE IDENTIDAD,1,54,El Rosario,Azcapotzalco,19.5017372,-99.20334935,2016,1,1,0.00,,
01/01/2016,USURPACIÓN DE IDENTIDAD,1,42,Ajusco,Coyoacán,19.31684391,-99.16410282,2016,1,1,2.00,,
05/01/2016,USURPACIÓN DE IDENTIDAD,0,55,Copilco Universidad,Coyoacán,19.33621973,-99.18103382,2016,1,5,2.00,,
19/01/2016,USURPACIÓN DE IDENTIDAD,0,60,Anzures,Miguel Hidalgo,19.42867,-99.17512,2016,1,19,9.00,,
01/02/2016,USURPACIÓN DE IDENTIDAD,1,29,Residencial Miramontes,Tlalpan,19.30351502,-99.12422919,2016,2,1,11.00,,
20/02/2016,USURPACIÓN DE IDENTIDAD,0,33,Barrio Santa Ana Poniente,Tláhuac,19.30641263,-99.04337883,2016,2,20,12.00,,
11/03/2016,USURPACIÓN DE IDENTIDAD,1,35,Bosque De Las Lomas,Miguel Hidalgo,19.40459511,-99.24153462,2016,3,11,9.00,,
30/03/2016,USURPACIÓN DE IDENTIDAD,0,56,Copilco Universidad,Coyoacán,19.336169973407895,-99.18110815,2016,3,30,2.00,,
01/04/2016,USURPACIÓN DE IDENTIDAD,0,25,Pueblo San Pedro Martir,Tlalpan,19.26634403,-99.17019546,2016,4,1,11.00,,
01/05/2016,USURPACIÓN DE IDENTIDAD,0,33,Santa Teresa,La Magdalena Contreras,19.31079055,-99.22458179,2016,5,1,8.00,,
15/05/2016,USURPACIÓN DE IDENTIDAD,1,40,Corpus Christy,Álvaro Obregón,19.36213346,-99.24965005,2016,5,15,15.00,,
15/06/2016,USURPACIÓN DE IDENTIDAD,1,54,Del Valle Sur,Benito Juárez,19.37231,-99.1724,2016,6,15,1.00,,
20/06/2016,USURPACIÓN DE IDENTIDAD,1,33,Polanco Iv Seccion,Miguel Hidalgo,19.43160202,-99.19547447,2016,6,20,9.00,,
23/06/2016,USURPACIÓN DE IDENTIDAD,0,57,Santa Cecilia,Tláhuac,19.27840813,-99.00745497,2016,6,23,12.00,,
30/06/2016,USURPACIÓN DE IDENTIDAD,0,51,Guadalupe Del Moral,Iztapalapa,19.36953395,-99.07074541,2016,6,30,7.00,,
04/07/2016,USURPACIÓN DE IDENTIDAD,0,59,Pedregal De Carrasco,Coyoacán,19.3057,-99.16488,2016,7,4,2.00,,
06/07/2016,USURPACIÓN DE IDENTIDAD,1,38,Roma Norte,Cuauhtémoc,19.42067529,-99.16781053,2016,7,6,4.00,,
06/08/2016,USURPACIÓN DE IDENTIDAD,1,30,Pedregal De Santa Ursula,Coyoacán,19.3092797,-99.15944735,2016,8,6,2.00,,
19/09/2016,USURPACIÓN DE IDENTIDAD,0,28,Chalma De Guadalupe,Gustavo A. Madero,19.5568188,-99.15314719,2016,9,19,5.00,,
23/09/2016,USURPACIÓN DE IDENTIDAD,1,40,Siete Maravillas,Gustavo A. Madero,19.51059,-99.14046,2016,9,23,5.00,,
01/10/2016,USURPACIÓN DE IDENTIDAD,1,88,Pueblo Tetelpan,Álvaro Obregón,19.34105,-99.23315,2016,10,1,15.00,,
01/10/2016,USURPACIÓN DE IDENTIDAD,1,36,Hipodromo,Cuauhtémoc,19.40982,-99.17345,2016,10,1,4.00,,
05/10/2016,USURPACIÓN DE IDENTIDAD,1,51,Mixcoac,Benito Juárez,19.37261331,-99.19075747,2016,10,5,1.00,,
26/10/2016,USURPACIÓN DE IDENTIDAD,0,50,San Jeronimo Aculco,La Magdalena Contreras,19.31741803,-99.22880781,2016,10,26,8.00,,
01/11/2016,USURPACIÓN DE IDENTIDAD,0,36,Pueblo Santa Lucia,Álvaro Obregón,19.36159646,-99.2533569,2016,11,1,15.00,,
03/11/2016,USURPACIÓN DE IDENTIDAD,1,39,Villa Gustavo A Madero,Gustavo A. Madero,19.4825056,-99.1143574,2016,11,3,5.00,,
04/11/2016,USURPACIÓN DE IDENTIDAD,1,32,Pedregal De Santa Ursula,Coyoacán,19.30917207,-99.15945379,2016,11,4,2.00,,
